"","X","st","log.inv.age1","log.inv.prec.age1","agegrp","period","N_swabs","pop_offset_IPD","IPD_blurred","N_carr_blurred"
"203",203,"18C",4.16739364554875,12.4326594724658,3,3,3259,2435.0243034,5,2
"204",204,"18C",4.16739364554875,12.4326594724658,4,1,1918,2302.9794375,11,34
"205",205,"18C",4.16739364554875,12.4326594724658,2,2,3329,5094.192,4,5
"206",206,"18C",4.16739364554875,12.4326594724658,2,0,1077,4685.025,9,16
"207",207,"18C",4.16739364554875,12.4326594724658,3,1,1918,3693.6125,7,35
"208",208,"18C",4.16739364554875,12.4326594724658,1,3,3259,682.89472565,4,3
"209",209,"19A",3.51271501997968,41.4208733640454,3,1,1918,3693.6125,6,48
"210",210,"19A",3.51271501997968,41.4208733640454,4,2,3329,4206.696,39,170
"211",211,"19A",3.51271501997968,41.4208733640454,2,2,3329,5094.192,7,172
"212",212,"19A",3.51271501997968,41.4208733640454,3,3,3259,2435.0243034,5,129
"213",213,"19A",3.51271501997968,41.4208733640454,1,3,3259,682.89472565,3,130
"214",214,"19A",3.51271501997968,41.4208733640454,2,0,1077,4685.025,6,34
"215",215,"19A",3.51271501997968,41.4208733640454,2,3,3259,2046.5561435,2,129
"216",216,"19A",3.51271501997968,41.4208733640454,1,2,3329,1610.316,35,178
"217",217,"19A",3.51271501997968,41.4208733640454,1,1,1918,1070.6159375,15,50
"218",218,"19A",3.51271501997968,41.4208733640454,4,0,1077,2755.251,15,32
"219",219,"19A",3.51271501997968,41.4208733640454,3,2,3329,5747.136,9,172
"220",220,"19A",3.51271501997968,41.4208733640454,4,3,3259,1899.7218255,15,126
"221",221,"19A",3.51271501997968,41.4208733640454,1,0,1077,1559.511,15,34
"222",222,"19A",3.51271501997968,41.4208733640454,2,1,1918,3547.3925625,9,50
"223",223,"19A",3.51271501997968,41.4208733640454,3,0,1077,4963.884,11,30
"224",224,"19A",3.51271501997968,41.4208733640454,4,1,1918,2302.9794375,24,51
"225",225,"19F",2.95337482919326,12.4133167282539,2,2,3329,5094.192,2,32
"226",226,"19F",2.95337482919326,12.4133167282539,4,1,1918,2302.9794375,4,94
"227",227,"19F",2.95337482919326,12.4133167282539,2,0,1077,4685.025,5,41
"228",228,"19F",2.95337482919326,12.4133167282539,4,2,3329,4206.696,11,32
"229",229,"19F",2.95337482919326,12.4133167282539,3,3,3259,2435.0243034,6,34
"230",230,"19F",2.95337482919326,12.4133167282539,1,0,1077,1559.511,22,41
"231",231,"19F",2.95337482919326,12.4133167282539,4,0,1077,2755.251,12,39
"232",232,"19F",2.95337482919326,12.4133167282539,1,1,1918,1070.6159375,5,90
"233",233,"19F",2.95337482919326,12.4133167282539,3,1,1918,3693.6125,5,97
"234",234,"19F",2.95337482919326,12.4133167282539,2,3,3259,2046.5561435,2,34
"235",235,"19F",2.95337482919326,12.4133167282539,3,0,1077,4963.884,3,40
"236",236,"19F",2.95337482919326,12.4133167282539,1,2,3329,1610.316,5,29
"237",237,"19F",2.95337482919326,12.4133167282539,4,3,3259,1899.7218255,4,33
"238",238,"19F",2.95337482919326,12.4133167282539,3,2,3329,5747.136,9,30
"239",239,"19F",2.95337482919326,12.4133167282539,2,1,1918,3547.3925625,3,96
"240",240,"19F",2.95337482919326,12.4133167282539,1,3,3259,682.89472565,8,29
